Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,8,1,72850.183,71020,45480.617,45480,0,02/23/2019 12:37:36,02/22/2019 16:23:26,3330.7448,1639.9,20718.222,0,67605.477,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,72870.183,71040,45500.617,45500,0,02/23/2019 12:37:56,02/22/2019 16:23:26,3330.7714,1639.9,20727.333,0,67635.824,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,72890.183,71060,45520.617,45520,0,02/23/2019 12:38:16,02/22/2019 16:23:26,3330.928,1639.9,20736.444,0,67666.171,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,72910.183,71080,45540.617,45540,0,02/23/2019 12:38:36,02/22/2019 16:23:26,3330.821,1639.9,20745.555,0,67696.517,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,72930.183,71100,45560.617,45560,0,02/23/2019 12:38:56,02/22/2019 16:23:26,3331.0594,1639.9,20754.665,0,67726.864,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,72950.183,71120,45580.617,45580,0,02/23/2019 12:39:16,02/22/2019 16:23:26,3331.0188,1640,20763.776,0,67757.213,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,72970.183,71140,45600.617,45600,0,02/23/2019 12:39:36,02/22/2019 16:23:26,3331.2156,1640.3,20772.887,0,67787.563,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,72990.183,71160,45620.617,45620,0,02/23/2019 12:39:56,02/22/2019 16:23:26,3330.7958,1640,20781.998,0,67817.912,0,30,0,0,0,0,0,0,0,26.09,25.5,,,,
187,1,SBT0550,001,1,,8,1,73010.183,71180,45640.617,45640,0,02/23/2019 12:40:16,02/22/2019 16:23:26,3331.1122,1639.7,20791.109,0,67848.261,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73030.183,71200,45660.617,45660,0,02/23/2019 12:40:36,02/22/2019 16:23:26,3330.9632,1640,20800.22,0,67878.609,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73050.183,71220,45680.617,45680,0,02/23/2019 12:40:56,02/22/2019 16:23:26,3331.0326,1640,20809.331,0,67908.958,0,30,0,0,0,0,0,0,0,26.09,25.5,,,,
187,1,SBT0550,001,1,,8,1,73070.183,71240,45700.617,45700,0,02/23/2019 12:41:16,02/22/2019 16:23:26,3331.005,1640,20818.441,0,67939.306,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73090.183,71260,45720.617,45720,0,02/23/2019 12:41:36,02/22/2019 16:23:26,3330.988,1639.9,20827.552,0,67969.654,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73110.183,71280,45740.617,45740,0,02/23/2019 12:41:56,02/22/2019 16:23:26,3331.1006,1639.9,20836.663,0,68000.003,0,30,0,0,0,0,0,0,0,26.09,25.5,,,,
187,1,SBT0550,001,1,,8,1,73130.183,71300,45760.617,45760,0,02/23/2019 12:42:16,02/22/2019 16:23:26,3331.0834,1639.7,20845.774,0,68030.351,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73150.183,71320,45780.617,45780,0,02/23/2019 12:42:36,02/22/2019 16:23:26,3330.87,1640,20854.884,0,68060.7,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73170.183,71340,45800.617,45800,0,02/23/2019 12:42:56,02/22/2019 16:23:26,3331.1182,1640,20863.995,0,68091.048,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73190.183,71360,45820.617,45820,0,02/23/2019 12:43:16,02/22/2019 16:23:26,3331.0162,1639.7,20873.106,0,68121.397,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73210.183,71380,45840.617,45840,0,02/23/2019 12:43:36,02/22/2019 16:23:26,3331.0958,1639.9,20882.217,0,68151.746,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73230.183,71400,45860.617,45860,0,02/23/2019 12:43:56,02/22/2019 16:23:26,3331.1654,1640.2,20891.328,0,68182.095,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73250.183,71420,45880.617,45880,0,02/23/2019 12:44:16,02/22/2019 16:23:26,3331.2742,1639.9,20900.439,0,68212.444,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73270.183,71440,45900.617,45900,0,02/23/2019 12:44:36,02/22/2019 16:23:26,3330.9846,1640.2,20909.549,0,68242.793,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73290.183,71460,45920.617,45920,0,02/23/2019 12:44:56,02/22/2019 16:23:26,3331.2792,1639.9,20918.66,0,68273.142,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73310.183,71480,45940.617,45940,0,02/23/2019 12:45:16,02/22/2019 16:23:26,3331.1742,1640.1,20927.771,0,68303.491,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73330.183,71500,45960.617,45960,0,02/23/2019 12:45:36,02/22/2019 16:23:26,3331.0306,1640,20936.881,0,68333.84,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73350.183,71520,45980.617,45980,0,02/23/2019 12:45:56,02/22/2019 16:23:26,3331.133,1640,20945.992,0,68364.188,0,30,0,0,0,0,0,0,0,26.1,25.4,,,,
187,1,SBT0550,001,1,,8,1,73370.183,71540,46000.617,46000,0,02/23/2019 12:46:16,02/22/2019 16:23:26,3331.2528,1639.7,20955.103,0,68394.537,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73390.183,71560,46020.617,46020,0,02/23/2019 12:46:36,02/22/2019 16:23:26,3331.2008,1639.8,20964.214,0,68424.886,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73410.183,71580,46040.617,46040,0,02/23/2019 12:46:56,02/22/2019 16:23:26,3331.2196,1640,20973.325,0,68455.235,0,30,0,0,0,0,0,0,0,26.09,25.5,,,,
187,1,SBT0550,001,1,,8,1,73430.183,71600,46060.617,46060,0,02/23/2019 12:47:16,02/22/2019 16:23:26,3331.192,1640.1,20982.435,0,68485.585,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73450.183,71620,46080.617,46080,0,02/23/2019 12:47:36,02/22/2019 16:23:26,3331.179,1639.5,20991.546,0,68515.935,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73470.183,71640,46100.617,46100,0,02/23/2019 12:47:56,02/22/2019 16:23:26,3331.1302,1639.8,21000.657,0,68546.286,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,73490.183,71660,46120.617,46120,0,02/23/2019 12:48:16,02/22/2019 16:23:26,3331.33,1639.8,21009.768,0,68576.637,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73510.183,71680,46140.617,46140,0,02/23/2019 12:48:36,02/22/2019 16:23:26,3331.3492,1639.8,21018.879,0,68606.988,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73530.183,71700,46160.617,46160,0,02/23/2019 12:48:56,02/22/2019 16:23:26,3331.2572,1639.9,21027.989,0,68637.339,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73550.183,71720,46180.617,46180,0,02/23/2019 12:49:16,02/22/2019 16:23:26,3331.3798,1640.1,21037.1,0,68667.689,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73570.183,71740,46200.617,46200,0,02/23/2019 12:49:36,02/22/2019 16:23:26,3331.3582,1640,21046.211,0,68698.038,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73590.183,71760,46220.617,46220,0,02/23/2019 12:49:56,02/22/2019 16:23:26,3331.0632,1639.9,21055.322,0,68728.388,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,73610.183,71780,46240.617,46240,0,02/23/2019 12:50:16,02/22/2019 16:23:26,3331.3968,1639.9,21064.432,0,68758.739,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73630.183,71800,46260.617,46260,0,02/23/2019 12:50:36,02/22/2019 16:23:26,3331.1952,1639.8,21073.543,0,68789.089,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73650.183,71820,46280.617,46280,0,02/23/2019 12:50:56,02/22/2019 16:23:26,3331.1714,1640.1,21082.654,0,68819.438,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73670.183,71840,46300.617,46300,0,02/23/2019 12:51:16,02/22/2019 16:23:26,3330.929,1639.9,21091.765,0,68849.788,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73690.183,71860,46320.617,46320,0,02/23/2019 12:51:36,02/22/2019 16:23:26,3330.8456,1639.8,21100.876,0,68880.137,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73710.183,71880,46340.617,46340,0,02/23/2019 12:51:56,02/22/2019 16:23:26,3331.1228,1640.1,21109.986,0,68910.486,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73730.183,71900,46360.617,46360,0,02/23/2019 12:52:16,02/22/2019 16:23:26,3331.4152,1640,21119.097,0,68940.837,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73750.183,71920,46380.617,46380,0,02/23/2019 12:52:36,02/22/2019 16:23:26,3331.4948,1639.8,21128.208,0,68971.189,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73770.183,71940,46400.617,46400,0,02/23/2019 12:52:56,02/22/2019 16:23:26,3331.3136,1639.8,21137.319,0,69001.541,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73790.183,71960,46420.617,46420,0,02/23/2019 12:53:16,02/22/2019 16:23:26,3331.3748,1639.9,21146.43,0,69031.893,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73810.183,71980,46440.617,46440,0,02/23/2019 12:53:36,02/22/2019 16:23:26,3331.3202,1640.1,21155.54,0,69062.244,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73830.183,72000,46460.617,46460,0,02/23/2019 12:53:56,02/22/2019 16:23:26,3331.4974,1640.1,21164.651,0,69092.596,0,30,0,0,0,0,0,0,0,26.12,25.6,,,,
187,1,SBT0550,001,1,,8,1,73850.183,72020,46480.617,46480,0,02/23/2019 12:54:16,02/22/2019 16:23:26,3331.4374,1640.2,21173.762,0,69122.949,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73870.183,72040,46500.617,46500,0,02/23/2019 12:54:36,02/22/2019 16:23:26,3331.4834,1639.9,21182.873,0,69153.302,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73890.183,72060,46520.617,46520,0,02/23/2019 12:54:56,02/22/2019 16:23:26,3331.499,1639.7,21191.984,0,69183.654,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,73910.183,72080,46540.617,46540,0,02/23/2019 12:55:16,02/22/2019 16:23:26,3331.3768,1640.1,21201.095,0,69214.006,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73930.183,72100,46560.617,46560,0,02/23/2019 12:55:36,02/22/2019 16:23:26,3331.1726,1640.2,21210.205,0,69244.358,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73950.183,72120,46580.617,46580,0,02/23/2019 12:55:56,02/22/2019 16:23:26,3331.3966,1639.8,21219.316,0,69274.709,0,30,0,0,0,0,0,0,0,26.11,25.4,,,,
187,1,SBT0550,001,1,,8,1,73970.183,72140,46600.617,46600,0,02/23/2019 12:56:16,02/22/2019 16:23:26,3331.3482,1640,21228.427,0,69305.061,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,73990.183,72160,46620.617,46620,0,02/23/2019 12:56:36,02/22/2019 16:23:26,3331.3348,1639.8,21237.538,0,69335.412,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74010.183,72180,46640.617,46640,0,02/23/2019 12:56:56,02/22/2019 16:23:26,3331.576,1640,21246.648,0,69365.764,0,30,0,0,0,0,0,0,0,26.11,25.6,,,,
187,1,SBT0550,001,1,,8,1,74030.183,72200,46660.617,46660,0,02/23/2019 12:57:16,02/22/2019 16:23:26,3331.273,1640,21255.759,0,69396.116,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74050.183,72220,46680.617,46680,0,02/23/2019 12:57:36,02/22/2019 16:23:26,3331.522,1640,21264.87,0,69426.468,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74070.183,72240,46700.617,46700,0,02/23/2019 12:57:56,02/22/2019 16:23:26,3331.5122,1639.8,21273.981,0,69456.819,0,30,0,0,0,0,0,0,0,26.1,25.4,,,,
187,1,SBT0550,001,1,,8,1,74090.183,72260,46720.617,46720,0,02/23/2019 12:58:16,02/22/2019 16:23:26,3331.6096,1639.8,21283.091,0,69487.172,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74110.183,72280,46740.617,46740,0,02/23/2019 12:58:36,02/22/2019 16:23:26,3331.504,1640.1,21292.202,0,69517.525,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74130.183,72300,46760.617,46760,0,02/23/2019 12:58:56,02/22/2019 16:23:26,3331.5016,1639.8,21301.313,0,69547.877,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,74150.183,72320,46780.617,46780,0,02/23/2019 12:59:16,02/22/2019 16:23:26,3331.5192,1639.9,21310.424,0,69578.229,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74170.183,72340,46800.617,46800,0,02/23/2019 12:59:36,02/22/2019 16:23:26,3331.3918,1640,21319.534,0,69608.58,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74190.183,72360,46820.617,46820,0,02/23/2019 12:59:56,02/22/2019 16:23:26,3331.5446,1639.8,21328.645,0,69638.931,0,30,0,0,0,0,0,0,0,26.09,25.6,,,,
187,1,SBT0550,001,1,,8,1,74210.183,72380,46840.617,46840,0,02/23/2019 13:00:16,02/22/2019 16:23:26,3331.6448,1640.1,21337.756,0,69669.283,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74230.183,72400,46860.617,46860,0,02/23/2019 13:00:36,02/22/2019 16:23:26,3331.4834,1640,21346.867,0,69699.635,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74250.183,72420,46880.617,46880,0,02/23/2019 13:00:56,02/22/2019 16:23:26,3331.414,1639.9,21355.978,0,69729.988,0,30,0,0,0,0,0,0,0,26.11,25.6,,,,
187,1,SBT0550,001,1,,8,1,74270.183,72440,46900.617,46900,0,02/23/2019 13:01:16,02/22/2019 16:23:26,3331.458,1640.1,21365.088,0,69760.34,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74290.183,72460,46920.617,46920,0,02/23/2019 13:01:36,02/22/2019 16:23:26,3331.6796,1640,21374.199,0,69790.693,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74310.183,72480,46940.617,46940,0,02/23/2019 13:01:56,02/22/2019 16:23:26,3331.517,1640,21383.31,0,69821.046,0,30,0,0,0,0,0,0,0,26.1,25.6,,,,
187,1,SBT0550,001,1,,8,1,74330.183,72500,46960.617,46960,0,02/23/2019 13:02:16,02/22/2019 16:23:26,3331.5218,1640,21392.421,0,69851.398,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74350.183,72520,46980.617,46980,0,02/23/2019 13:02:36,02/22/2019 16:23:26,3331.8106,1640,21401.531,0,69881.752,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74370.183,72540,47000.617,47000,0,02/23/2019 13:02:56,02/22/2019 16:23:26,3331.7152,1640,21410.642,0,69912.106,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,74390.183,72560,47020.617,47020,0,02/23/2019 13:03:16,02/22/2019 16:23:26,3331.6824,1639.9,21419.753,0,69942.46,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74410.183,72580,47040.617,47040,0,02/23/2019 13:03:36,02/22/2019 16:23:26,3331.7368,1640,21428.864,0,69972.814,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74430.183,72600,47060.617,47060,0,02/23/2019 13:03:56,02/22/2019 16:23:26,3331.7474,1639.9,21437.974,0,70003.169,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,74450.183,72620,47080.617,47080,0,02/23/2019 13:04:16,02/22/2019 16:23:26,3331.704,1639.9,21447.085,0,70033.524,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74470.183,72640,47100.617,47100,0,02/23/2019 13:04:36,02/22/2019 16:23:26,3331.7296,1639.8,21456.196,0,70063.878,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74490.183,72660,47120.617,47120,0,02/23/2019 13:04:56,02/22/2019 16:23:26,3331.4856,1640,21465.307,0,70094.233,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,74510.183,72680,47140.617,47140,0,02/23/2019 13:05:16,02/22/2019 16:23:26,3331.7456,1639.8,21474.417,0,70124.587,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74530.183,72700,47160.617,47160,0,02/23/2019 13:05:36,02/22/2019 16:23:26,3331.4096,1639.8,21483.528,0,70154.94,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74550.183,72720,47180.617,47180,0,02/23/2019 13:05:56,02/22/2019 16:23:26,3331.6236,1640.1,21492.639,0,70185.293,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,74570.183,72740,47200.617,47200,0,02/23/2019 13:06:16,02/22/2019 16:23:26,3331.433,1640,21501.75,0,70215.646,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74590.183,72760,47220.617,47220,0,02/23/2019 13:06:36,02/22/2019 16:23:26,3331.5592,1640.1,21510.86,0,70246,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74610.183,72780,47240.617,47240,0,02/23/2019 13:06:56,02/22/2019 16:23:26,3331.5444,1639.9,21519.971,0,70276.353,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,74630.183,72800,47260.617,47260,0,02/23/2019 13:07:16,02/22/2019 16:23:26,3331.5296,1639.8,21529.082,0,70306.707,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74650.183,72820,47280.617,47280,0,02/23/2019 13:07:36,02/22/2019 16:23:26,3331.627,1639.9,21538.193,0,70337.061,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74670.183,72840,47300.617,47300,0,02/23/2019 13:07:56,02/22/2019 16:23:26,3331.7622,1640,21547.303,0,70367.415,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,74690.183,72860,47320.617,47320,0,02/23/2019 13:08:16,02/22/2019 16:23:26,3331.8912,1639.8,21556.414,0,70397.77,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74710.183,72880,47340.617,47340,0,02/23/2019 13:08:36,02/22/2019 16:23:26,3331.7538,1639.8,21565.525,0,70428.125,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74730.183,72900,47360.617,47360,0,02/23/2019 13:08:56,02/22/2019 16:23:26,3331.7242,1639.9,21574.635,0,70458.48,0,30,0,0,0,0,0,0,0,26.1,25.6,,,,
187,1,SBT0550,001,1,,8,1,74750.183,72920,47380.617,47380,0,02/23/2019 13:09:16,02/22/2019 16:23:26,3331.8222,1640.1,21583.746,0,70488.834,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74770.183,72940,47400.617,47400,0,02/23/2019 13:09:36,02/22/2019 16:23:26,3331.6916,1639.9,21592.857,0,70519.189,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74790.183,72960,47420.617,47420,0,02/23/2019 13:09:56,02/22/2019 16:23:26,3331.945,1639.9,21601.968,0,70549.544,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,74810.183,72980,47440.617,47440,0,02/23/2019 13:10:16,02/22/2019 16:23:26,3331.7468,1640.2,21611.079,0,70579.9,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74830.183,73000,47460.617,47460,0,02/23/2019 13:10:36,02/22/2019 16:23:26,3331.4238,1640,21620.19,0,70610.255,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74850.183,73020,47480.617,47480,0,02/23/2019 13:10:56,02/22/2019 16:23:26,3331.7354,1640.1,21629.3,0,70640.61,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,74870.183,73040,47500.617,47500,0,02/23/2019 13:11:16,02/22/2019 16:23:26,3331.7542,1640,21638.411,0,70670.965,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74890.183,73060,47520.617,47520,0,02/23/2019 13:11:36,02/22/2019 16:23:26,3331.6542,1640,21647.522,0,70701.321,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74910.183,73080,47540.617,47540,0,02/23/2019 13:11:56,02/22/2019 16:23:26,3331.7324,1640.2,21656.633,0,70731.675,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,74930.183,73100,47560.617,47560,0,02/23/2019 13:12:16,02/22/2019 16:23:26,3331.4846,1640,21665.744,0,70762.029,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74950.183,73120,47580.617,47580,0,02/23/2019 13:12:36,02/22/2019 16:23:26,3331.5856,1640.1,21674.854,0,70792.382,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,74970.183,73140,47600.617,47600,0,02/23/2019 13:12:56,02/22/2019 16:23:26,3331.7726,1640.1,21683.965,0,70822.736,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,74990.183,73160,47620.617,47620,0,02/23/2019 13:13:16,02/22/2019 16:23:26,3332.0158,1639.9,21693.076,0,70853.092,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75010.183,73180,47640.617,47640,0,02/23/2019 13:13:36,02/22/2019 16:23:26,3332.1268,1639.8,21702.187,0,70883.448,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75030.183,73200,47660.617,47660,0,02/23/2019 13:13:56,02/22/2019 16:23:26,3331.8116,1640,21711.297,0,70913.804,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,75050.183,73220,47680.617,47680,0,02/23/2019 13:14:16,02/22/2019 16:23:26,3331.6904,1639.9,21720.408,0,70944.158,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75070.183,73240,47700.617,47700,0,02/23/2019 13:14:36,02/22/2019 16:23:26,3331.8754,1639.9,21729.519,0,70974.513,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75090.183,73260,47720.617,47720,0,02/23/2019 13:14:56,02/22/2019 16:23:26,3332.079,1640.1,21738.63,0,71004.869,0,30,0,0,0,0,0,0,0,26.12,25.5,,,,
187,1,SBT0550,001,1,,8,1,75110.183,73280,47740.617,47740,0,02/23/2019 13:15:16,02/22/2019 16:23:26,3332.122,1640,21747.74,0,71035.226,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75130.183,73300,47760.617,47760,0,02/23/2019 13:15:36,02/22/2019 16:23:26,3332.1006,1639.9,21756.851,0,71065.582,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75150.183,73320,47780.617,47780,0,02/23/2019 13:15:56,02/22/2019 16:23:26,3331.9146,1639.9,21765.962,0,71095.938,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,75170.183,73340,47800.617,47800,0,02/23/2019 13:16:16,02/22/2019 16:23:26,3331.7588,1640.2,21775.073,0,71126.294,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75190.183,73360,47820.617,47820,0,02/23/2019 13:16:36,02/22/2019 16:23:26,3331.9358,1640.1,21784.183,0,71156.649,0,2,0,0,0,0,0,0,0,,,,,,
